batch_characters,iteration,model,latency_ns
1,221,structured_50,156200
1,221,dense,171000
1,222,dense,169700
1,222,structured_50,157900
1,223,structured_50,155400
1,223,dense,167000
1,224,dense,168500
1,224,structured_50,181000
1,225,structured_50,168000
1,225,dense,173300
1,226,dense,169500
1,226,structured_50,157600
1,227,structured_50,156100
1,227,dense,169800
1,228,dense,166200
1,228,structured_50,158600
1,229,structured_50,156400
1,229,dense,168700
1,230,dense,168400
1,230,structured_50,178700
1,231,structured_50,165400
1,231,dense,171400
1,232,dense,170300
1,232,structured_50,158600
1,233,structured_50,155900
1,233,dense,169600
1,234,dense,172700
1,234,structured_50,159800
1,235,structured_50,181700
1,235,dense,177000
1,236,dense,186200
1,236,structured_50,676400
1,237,structured_50,211800
1,237,dense,189700
1,238,dense,330000
1,238,structured_50,193000
1,239,structured_50,166900
1,239,dense,177900
1,240,dense,171300
1,240,structured_50,162600
1,241,structured_50,157500
1,241,dense,169600
1,242,dense,168900
1,242,structured_50,160000
1,243,structured_50,156200
1,243,dense,200700
1,244,dense,176900
1,244,structured_50,161500
1,245,structured_50,157700
1,245,dense,169000
1,246,dense,168000
1,246,structured_50,157200
1,247,structured_50,155500
1,247,dense,168800
1,248,dense,168200
1,248,structured_50,159200
1,249,structured_50,154500
1,249,dense,192800
1,250,dense,177600
1,250,structured_50,162600
1,251,structured_50,156000
1,251,dense,168800
1,252,dense,168700
1,252,structured_50,157900
1,253,structured_50,155900
1,253,dense,167400
1,254,dense,166800
1,254,structured_50,171400
1,255,structured_50,175100
1,255,dense,173300
1,256,dense,168700
1,256,structured_50,160400
1,257,structured_50,158200
1,257,dense,169900
1,258,dense,168200
1,258,structured_50,157900
1,259,structured_50,156200
1,259,dense,168700
1,260,dense,168900
1,260,structured_50,174000
1,261,structured_50,173900
1,261,dense,172900
1,262,dense,171500
1,262,structured_50,158900
1,263,structured_50,158600
1,263,dense,170400
1,264,dense,168400
1,264,structured_50,159700
1,265,structured_50,217000
1,265,dense,199300
1,266,dense,180500
1,266,structured_50,198000
1,267,structured_50,431500
1,267,dense,331900
